# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu-clock'
# Event count (approx.): 5971971966
#
# Overhead  Shared Object     Symbol                                        IPC   [IPC Coverage]
# ........  ................  ............................................  ....................
#
    23.05%  python3.10d       [.] _PyEval_EvalFrameDefault                  -      -            
     4.93%  python3.10d       [.] _PyMem_DebugCheckAddress                  -      -            
     3.97%  python3.10d       [.] list_item.lto_priv.0                      -      -            
     2.80%  python3.10d       [.] call_function.lto_priv.0                  -      -            
     2.70%  python3.10d       [.] read_size_t                               -      -            
     2.06%  python3.10d       [.] _PyObject_Malloc                          -      -            
     2.01%  libc.so.6         [.] pthread_getspecific                       -      -            
     1.81%  python3.10d       [.] sre_ucs1_match.lto_priv.0                 -      -            
     1.59%  python3.10d       [.] PyGILState_Check                          -      -            
     1.59%  python3.10d       [.] arena_map_get                             -      -            
     1.58%  python3.10d       [.] _PyMem_DebugRawAlloc                      -      -            
     1.56%  python3.10d       [.] binary_op1                                -      -            
     1.22%  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10    -      -            
     1.14%  python3.10d       [.] write_size_t                              -      -            
     1.12%  python3.10d       [.] _PyType_Lookup                            -      -            
     1.11%  python3.10d       [.] arena_map_is_used                         -      -            
     1.07%  python3.10d       [.] get_small_int.lto_priv.0                  -      -            
     1.02%  python3.10d       [.] PyTuple_GetItem                           -      -            
     1.01%  python3.10d       [.] frame_dealloc.lto_priv.0                  -      -            
     0.97%  python3.10d       [.] lookdict_unicode_nodummy                  -      -            
     0.92%  python3.10d       [.] ins1                                      -      -            
     0.91%  python3.10d       [.] _PyEval_MakeFrameVector                   -      -            
     0.91%  python3.10d       [.] list_dealloc.lto_priv.0                   -      -            
     0.79%  python3.10d       [.] _PyObject_Free                            -      -            
     0.74%  python3.10d       [.] _Py_CheckSlotResult                       -      -            
     0.72%  python3.10d       [.] PyThread_tss_get                          -      -            
     0.72%  python3.10d       [.] _PyMem_DebugFree                          -      -            
     0.72%  python3.10d       [.] _Py_CheckFunctionResult                   -      -            
     0.70%  python3.10d       [.] _Py_NewReference                          -      -            
     0.69%  libc.so.6         [.] 0x00000000001a1064                        -      -            
     0.69%  python3.10d       [.] _PyGILState_GetThisThreadState            -      -            
     0.69%  python3.10d       [.] _PyLong_New                               -      -            
     0.69%  python3.10d       [.] _PyMem_DebugMalloc                        -      -            
     0.67%  python3.10d       [.] long_richcompare.lto_priv.0               -      -            
     0.65%  python3.10d       [.] _PyMem_DebugRawFree                       -      -            
     0.62%  libc.so.6         [.] 0x00000000001a110a                        -      -            
     0.62%  python3.10d       [.] long_bitwise                              -      -            
     0.62%  python3.10d       [.] method_vectorcall_O                       -      -            
     0.59%  python3.10d       [.] PyNumber_AsSsize_t                        -      -            
     0.59%  python3.10d       [.] _PyDict_GetItemHint                       -      -            
     0.57%  python3.10d       [.] _PyObject_GetMethod                       -      -            
     0.55%  python3.10d       [.] PyObject_GetItem                          -      -            
     0.52%  python3.10d       [.] PyLong_FromLong                           -      -            
     0.52%  python3.10d       [.] _PyNumber_Index                           -      -            
     0.50%  python3.10d       [.] binary_op                                 -      -            
     0.49%  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.23    -      -            
     0.49%  python3.10d       [.] lookdict_split.lto_priv.0                 -      -            
     0.47%  python3.10d       [.] insertdict                                -      -            
     0.45%  python3.10d       [.] _PyFrame_New_NoTrack                      -      -            
     0.44%  python3.10d       [.] list_subscript.lto_priv.0                 -      -            
     0.42%  python3.10d       [.] app1                                      -      -            
     0.39%  python3.10d       [.] PyLong_AsSsize_t                          -      -            
     0.37%  python3.10d       [.] PyObject_RichCompare                      -      -            
     0.37%  python3.10d       [.] _PyObject_GenericSetAttrWithDict          -      -            
     0.37%  [unknown]         [k] 0xffffffffbd8c2d8a                        -      -            
     0.35%  python3.10d       [.] _PyDict_CheckConsistency                  -      -            
