# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock'
# Event count (approx.): 16095095079
#
# Overhead  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ....................  ..........................................  ....................
#
    23.48%  python3.10d           [.] _PyEval_EvalFrameDefault                -      -            
     4.33%  python3.10d           [.] _PyMem_DebugCheckAddress                -      -            
     2.79%  python3.10d           [.] call_function.lto_priv.0                -      -            
     2.75%  python3.10d           [.] read_size_t                             -      -            
     2.36%  python3.10d           [.] list_dealloc.lto_priv.0                 -      -            
     2.14%  python3.10d           [.] list_ass_slice                          -      -            
     1.95%  python3.10d           [.] _PyObject_Malloc                        -      -            
     1.88%  python3.10d           [.] arena_map_get                           -      -            
     1.73%  libc.so.6             [.] pthread_getspecific                     -      -            
     1.55%  python3.10d           [.] PyGILState_Check                        -      -            
     1.49%  python3.10d           [.] _PyObject_VectorcallTstate.lto_priv.10  -      -            
     1.47%  python3.10d           [.] PyTuple_GetItem                         -      -            
     1.35%  python3.10d           [.] binary_op1                              -      -            
     1.34%  python3.10d           [.] _PyMem_DebugRawAlloc                    -      -            
     1.31%  python3.10d           [.] frame_dealloc.lto_priv.0                -      -            
     1.26%  python3.10d           [.] arena_map_is_used                       -      -            
     1.23%  python3.10d           [.] list_item.lto_priv.0                    -      -            
     1.21%  python3.10d           [.] _PyObject_GetMethod                     -      -            
     1.16%  python3.10d           [.] get_small_int.lto_priv.0                -      -            
     1.16%  python3.10d           [.] _PyDict_GetItemHint                     -      -            
     1.15%  python3.10d           [.] PyObject_RichCompare                    -      -            
     1.14%  python3.10d           [.] list_slice                              -      -            
     1.13%  python3.10d           [.] list_concat.lto_priv.0                  -      -            
     1.06%  python3.10d           [.] _PyEval_MakeFrameVector                 -      -            
     1.04%  python3.10d           [.] write_size_t                            -      -            
     0.93%  python3.10d           [.] lookdict_split.lto_priv.0               -      -            
     0.88%  python3.10d           [.] _PyMem_DebugMalloc                      -      -            
     0.78%  python3.10d           [.] _PyType_Lookup                          -      -            
     0.76%  python3.10d           [.] lookdict_unicode_nodummy                -      -            
     0.75%  python3.10d           [.] _PyMem_DebugRawFree                     -      -            
     0.75%  python3.10d           [.] _PyObject_Free                          -      -            
     0.71%  python3.10d           [.] _PyMem_DebugFree                        -      -            
     0.71%  python3.10d           [.] long_richcompare.lto_priv.0             -      -            
     0.70%  python3.10d           [.] _PyLong_New                             -      -            
     0.69%  python3.10d           [.] PyThread_tss_get                        -      -            
     0.66%  libc.so.6             [.] 0x00000000001a1064                      -      -            
     0.65%  python3.10d           [.] _Py_CheckFunctionResult                 -      -            
     0.62%  python3.10d           [.] long_bitwise                            -      -            
     0.60%  libc.so.6             [.] 0x00000000001a110a                      -      -            
     0.60%  python3.10d           [.] _Py_NewReference                        -      -            
     0.59%  python3.10d           [.] _PyEval_Vector                          -      -            
     0.58%  python3.10d           [.] _PyFunction_Vectorcall                  -      -            
     0.58%  python3.10d           [.] PyObject_GetItem                        -      -            
     0.56%  python3.10d           [.] _PyGILState_GetThisThreadState          -      -            
     0.49%  python3.10d           [.] _Py_CheckSlotResult                     -      -            
     0.49%  python3.10d           [.] do_richcompare                          -      -            
     0.47%  python3.10d           [.] _PyFrame_New_NoTrack                    -      -            
     0.47%  python3.10d           [.] binary_op                               -      -            
     0.46%  python3.10d           [.] PyNumber_AsSsize_t                      -      -            
     0.45%  python3.10d           [.] listiter_next.lto_priv.0                -      -            
     0.45%  python3.10d           [.] maybe_small_long.lto_priv.0             -      -            
     0.43%  python3.10d           [.] _PyNumber_Index                         -      -            
     0.42%  python3.10d           [.] PyLong_FromLong                         -      -            
     0.40%  python3.10d           [.] _Py_Dealloc                             -      -            
     0.38%  python3.10d           [.] PySlice_AdjustIndices                   -      -            
     0.35%  python3.10d           [.] PyLong_AsSsize_t                        -      -            
     0.33%  python3.10d           [.] PyThread_tss_is_created                 -      -            
     0.32%  python3.10d           [.] PySlice_New                             -      -            
     0.32%  python3.10d           [.] divmod_shift                            -      -            
     0.32%  python3.10d           [.] method_vectorcall_O                     -      -            
     0.31%  python3.10d           [.] PyDict_Contains                         -      -            
     0.31%  python3.10d           [.] PyDict_GetItemWithError                 -      -            
     0.31%  python3.10d           [.] object_dealloc.lto_priv.0               -      -            
     0.29%  python3.10d           [.] binary_iop1                             -      -            
     0.29%  python3.10d           [.] long_compare.lto_priv.0                 -      -            
     0.28%  python3.10d           [.] _PyUnicode_FromId                       -      -            
     0.28%  python3.10d           [.] frame_alloc                             -      -            
     0.28%  python3.10d           [.] unsafe_long_compare                     -      -            
     0.27%  python3.10d           [.] long_normalize.lto_priv.0               -      -            
     0.26%  python3.10d           [.] PyObject_Free                           -      -            
     0.25%  python3.10d           [.] binarysort                              -      -            
     0.25%  python3.10d           [.] bytes_subscript                         -      -            
     0.25%  python3.10d           [.] is_tstate_valid.lto_priv.0              -      -            
     0.25%  python3.10d           [.] slice_dealloc.lto_priv.0                -      -            
     0.25%  python3.10d           [.] PyObject_Malloc                         -      -            
     0.24%  python3.10d           [.] PyLong_FromSsize_t                      -      -            
     0.24%  python3.10d           [.] cfunction_vectorcall_O.lto_priv.0       -      -            
     0.24%  python3.10d           [.] insertdict                              -      -            
     0.23%  python3.10d           [.] _PyObject_GenericSetAttrWithDict        -      -            
     0.22%  libc.so.6             [.] 0x00000000001a1040                      -      -            
     0.22%  python3.10d           [.] _PyMem_DebugRawMalloc                   -      -            
     0.22%  python3.10d           [.] address_in_range                        -      -            
     0.22%  python3.10d           [.] long_lshift1                            -      -            
     0.21%  python3.10d           [.] long_add.lto_priv.0                     -      -            
     0.21%  [unknown]             [k] 0xffffffff98382277                      -      -            
