# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu-clock'
# Event count (approx.): 3494494491
#
# Overhead  Shared Object         Symbol                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................  ....................
#
    32.86%  python3.10d           [.] _PyEval_EvalFrameDefault                           -      -            
     3.78%  python3.10d           [.] binary_op1                                         -      -            
     2.52%  python3.10d           [.] float_dealloc.lto_priv.0                           -      -            
     2.46%  python3.10d           [.] PyFloat_FromDouble                                 -      -            
     1.89%  python3.10d           [.] call_function.lto_priv.0                           -      -            
     1.89%  python3.10d           [.] frame_dealloc.lto_priv.0                           -      -            
     1.75%  python3.10d           [.] _PyEval_MakeFrameVector                            -      -            
     1.72%  python3.10d           [.] PyTuple_GetItem                                    -      -            
     1.63%  python3.10d           [.] float_add.lto_priv.0                               -      -            
     1.63%  python3.10d           [.] float_mul.lto_priv.0                               -      -            
     1.58%  python3.10d           [.] _PyMem_DebugCheckAddress                           -      -            
     1.37%  python3.10d           [.] PyType_IsSubtype                                   -      -            
     1.20%  python3.10d           [.] _PyObject_VectorcallTstate.lto_priv.10             -      -            
     1.17%  python3.10d           [.] _PyDict_GetItemHint                                -      -            
     1.06%  python3.10d           [.] get_float_state                                    -      -            
     1.06%  python3.10d           [.] lookdict_unicode_nodummy                           -      -            
     1.00%  python3.10d           [.] float_sub.lto_priv.0                               -      -            
     0.97%  python3.10d           [.] _PyObject_GetMethod                                -      -            
     0.97%  python3.10d           [.] _Py_NewReference                                   -      -            
     0.95%  python3.10d           [.] _Py_Dealloc                                        -      -            
     0.92%  python3.10d           [.] _PyObject_Malloc                                   -      -            
     0.92%  python3.10d           [.] _Py_CheckSlotResult                                -      -            
     0.83%  python3.10d           [.] read_size_t                                        -      -            
     0.83%  [unknown]             [k] 0xffffffff8b358045                                 -      -            
     0.80%  python3.10d           [.] _PyType_Lookup                                     -      -            
     0.77%  python3.10d           [.] _PyObject_GenericSetAttrWithDict                   -      -            
     0.74%  python3.10d           [.] _PyFrame_New_NoTrack                               -      -            
     0.69%  libc.so.6             [.] pthread_getspecific                                -      -            
     0.69%  python3.10d           [.] PyGILState_Check                                   -      -            
     0.66%  python3.10d           [.] _Py_CheckFunctionResult                            -      -            
     0.60%  python3.10d           [.] listiter_next.lto_priv.0                           -      -            
     0.57%  python3.10d           [.] PyObject_RichCompare                               -      -            
     0.54%  python3.10d           [.] PyNumber_Multiply                                  -      -            
     0.52%  python3.10d           [.] _PyEval_Vector                                     -      -            
     0.52%  python3.10d           [.] lookdict_split.lto_priv.0                          -      -            
     0.49%  python3.10d           [.] arena_map_get                                      -      -            
     0.49%  python3.10d           [.] binary_op                                          -      -            
     0.46%  python3.10d           [.] validate_list                                      -      -            
     0.43%  python3.10d           [.] get_small_int.lto_priv.0                           -      -            
     0.43%  python3.10d           [.] write_size_t                                       -      -            
     0.40%  python3.10d           [.] PyObject_SetAttr                                   -      -            
     0.40%  python3.10d           [.] frame_alloc                                        -      -            
     0.40%  python3.10d           [.] tupledealloc.lto_priv.0                            -      -            
     0.37%  python3.10d           [.] _PyTuple_FromArray                                 -      -            
     0.37%  python3.10d           [.] _PyUnicode_CheckConsistency                        -      -            
     0.37%  python3.10d           [.] float_richcompare.lto_priv.0                       -      -            
     0.34%  python3.10d           [.] PyDict_Contains                                    -      -            
     0.34%  python3.10d           [.] PyLong_AsDouble                                    -      -            
     0.34%  python3.10d           [.] _PyObject_MakeTpCall                               -      -            
     0.34%  python3.10d           [.] _PyUnicode_FromId                                  -      -            
     0.32%  python3.10d           [.] PyType_GenericAlloc                                -      -            
     0.32%  python3.10d           [.] _PyFunction_Vectorcall                             -      -            
     0.32%  python3.10d           [.] _PyMem_DebugRawAlloc                               -      -            
     0.32%  python3.10d           [.] convert_to_double                                  -      -            
     0.32%  python3.10d           [.] tuple_alloc                                        -      -            
     0.29%  python3.10d           [.] PyNumber_Add                                       -      -            
     0.29%  python3.10d           [.] PyObject_Free                                      -      -            
     0.29%  python3.10d           [.] clear_slots                                        -      -            
     0.29%  python3.10d           [.] vgetargskeywords                                   -      -            
     0.26%  python3.10d           [.] PyDict_GetItemWithError                            -      -            
     0.26%  python3.10d           [.] _PyTrash_begin                                     -      -            
     0.26%  python3.10d           [.] long_mul.lto_priv.0                                -      -            
     0.26%  python3.10d           [.] long_sub.lto_priv.0                                -      -            
     0.26%  python3.10d           [.] slot_tp_init                                       -      -            
     0.23%  libc.so.6             [.] 0x00000000001a1064                                 -      -            
     0.23%  python3.10d           [.] PyThread_tss_get                                   -      -            
     0.23%  python3.10d           [.] _PyMem_DebugMalloc                                 -      -            
     0.23%  python3.10d           [.] _PyMem_DebugRawFree                                -      -            
     0.23%  python3.10d           [.] _PyObjectDict_SetItem                              -      -            
     0.23%  python3.10d           [.] _PyObject_GC_Alloc                                 -      -            
     0.23%  python3.10d           [.] _PyType_GetModuleByDef                             -      -            
     0.23%  python3.10d           [.] arena_map_is_used                                  -      -            
     0.23%  python3.10d           [.] do_richcompare                                     -      -            
     0.23%  python3.10d           [.] is_tstate_valid.lto_priv.0                         -      -            
     0.23%  python3.10d           [.] lookdict_unicode                                   -      -            
     0.23%  python3.10d           [.] object_dealloc.lto_priv.0                          -      -            
     0.23%  python3.10d           [.] subtype_dealloc.lto_priv.0                         -      -            
     0.20%  python3.10d           [.] PyMember_SetOne                                    -      -            
     0.20%  python3.10d           [.] pymalloc_pool_extend                               -      -            
     0.17%  python3.10d           [.] _PyDict_CheckConsistency                           -      -            
     0.17%  python3.10d           [.] _PyGILState_GetThisThreadState                     -      -            
     0.17%  python3.10d           [.] _PyLong_New                                        -      -            
     0.17%  python3.10d           [.] _PyMem_DebugFree                                   -      -            
     0.17%  python3.10d           [.] member_set.lto_priv.0                              -      -            
     0.17%  python3.10d           [.] vgetargs1_impl                                     -      -            
     0.17%  [unknown]             [k] 0xffffffff8af82277                                 -      -            
     0.14%  python3.10d           [.] PyBool_FromLong                                    -      -            
     0.14%  python3.10d           [.] PyCallable_Check                                   -      -            
     0.14%  python3.10d           [.] PyObject_GC_UnTrack                                -      -            
     0.14%  python3.10d           [.] PyObject_GetItem                                   -      -            
     0.14%  python3.10d           [.] PyObject_Malloc                                    -      -            
     0.14%  python3.10d           [.] PyThreadState_Get                                  -      -            
     0.14%  python3.10d           [.] PyThread_tss_is_created                            -      -            
     0.14%  python3.10d           [.] _PyObject_Free                                     -      -            
     0.14%  python3.10d           [.] _PyObject_IsFreed                                  -      -            
     0.14%  python3.10d           [.] address_in_range                                   -      -            
     0.14%  python3.10d           [.] insertdict                                         -      -            
     0.14%  python3.10d           [.] type_call.lto_priv.0                               -      -            
     0.11%  python3.10d           [.] BB_setitem                                         -      -            
     0.11%  python3.10d           [.] PyLong_FromLong                                    -      -            
     0.11%  python3.10d           [.] PyLong_FromLongLong                                -      -            
     0.11%  python3.10d           [.] PyNumber_AsSsize_t                                 -      -            
