# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cpu-clock'
# Event count (approx.): 11075075064
#
# Overhead  Shared Object         Symbol                                        IPC   [IPC Coverage]
# ........  ....................  ............................................  ....................
#
    28.27%  python3.10d           [.] _PyEval_EvalFrameDefault                  -      -            
     3.54%  python3.10d           [.] call_function.lto_priv.0                  -      -            
     3.15%  python3.10d           [.] frame_dealloc.lto_priv.0                  -      -            
     3.10%  python3.10d           [.] _PyEval_MakeFrameVector                   -      -            
     2.25%  python3.10d           [.] _PyDict_GetItemHint                       -      -            
     2.21%  python3.10d           [.] PyTuple_GetItem                           -      -            
     2.15%  python3.10d           [.] binary_op1                                -      -            
     2.03%  python3.10d           [.] lookdict_unicode_nodummy                  -      -            
     1.82%  python3.10d           [.] _PyObject_VectorcallTstate.lto_priv.10    -      -            
     1.78%  python3.10d           [.] _PyType_Lookup                            -      -            
     1.60%  python3.10d           [.] _PyMem_DebugCheckAddress                  -      -            
     1.56%  python3.10d           [.] lookdict_split.lto_priv.0                 -      -            
     1.47%  python3.10d           [.] _PyObject_GetMethod                       -      -            
     1.36%  python3.10d           [.] _PyEval_Vector                            -      -            
     1.28%  python3.10d           [.] _PyFrame_New_NoTrack                      -      -            
     1.27%  libc.so.6             [.] pthread_getspecific                       -      -            
     1.10%  python3.10d           [.] PyFloat_FromDouble                        -      -            
     1.08%  python3.10d           [.] float_dealloc.lto_priv.0                  -      -            
     0.99%  python3.10d           [.] _PyUnicode_FromId                         -      -            
     0.98%  python3.10d           [.] insertdict                                -      -            
     0.96%  python3.10d           [.] _PyFunction_Vectorcall                    -      -            
     0.95%  python3.10d           [.] _Py_NewReference                          -      -            
     0.93%  python3.10d           [.] read_size_t                               -      -            
     0.91%  python3.10d           [.] _Py_CheckFunctionResult                   -      -            
     0.89%  python3.10d           [.] frame_alloc                               -      -            
     0.83%  python3.10d           [.] _Py_Dealloc                               -      -            
     0.83%  python3.10d           [.] float_mul.lto_priv.0                      -      -            
     0.80%  python3.10d           [.] PyGILState_Check                          -      -            
     0.79%  python3.10d           [.] _PyObject_Malloc                          -      -            
     0.72%  python3.10d           [.] _PyObject_MakeTpCall                      -      -            
     0.72%  python3.10d           [.] subtype_dealloc.lto_priv.0                -      -            
     0.71%  python3.10d           [.] PyType_IsSubtype                          -      -            
     0.71%  python3.10d           [.] tupledealloc.lto_priv.0                   -      -            
     0.70%  python3.10d           [.] _PyDict_CheckConsistency                  -      -            
     0.66%  python3.10d           [.] _PyObjectDict_SetItem                     -      -            
     0.59%  python3.10d           [.] PyObject_SetAttr                          -      -            
